<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.12.29	00:00:00	3946.81	4004.44	3760.83	3795.11	81452	0	0
2018.12.30	00:00:00	3795.65	3919.31	3751.94	3891.54	81396	0	0
2018.12.31	00:00:00	3892.52	3899.95	3681.40	3750.80	80726	0	0
2019.01.01	00:00:00	3750.39	3892.64	3704.29	3880.45	81525	0	0
2019.01.02	00:00:00	3880.48	3985.81	3831.83	3954.33	81322	0	0
2019.01.03	00:00:00	3953.89	3960.06	3810.43	3844.19	80181	0	0
2019.01.04	00:00:00	3843.64	3905.00	3780.73	3873.03	80669	0	0
2019.01.05	00:00:00	3873.26	3923.83	3825.88	3844.22	80334	0	0
2019.01.06	00:00:00	3844.11	4137.72	3801.47	4090.38	80815	0	0
2019.01.07	00:00:00	4091.50	4120.22	3984.46	4045.10	80266	0	0
2019.01.08	00:00:00	4045.11	4142.37	3977.24	4032.38	80225	0	0
2019.01.09	00:00:00	4032.79	4090.12	3976.23	4029.81	80260	0	0
2019.01.10	00:00:00	4029.91	4070.50	3612.26	3657.44	81043	0	0
2019.01.11	00:00:00	3657.51	3713.53	3586.29	3660.13	81166	0	0
2019.01.12	00:00:00	3659.36	3678.16	3598.51	3648.94	83568	0	0
2019.01.13	00:00:00	3649.11	3671.74	3510.85	3541.45	83963	0	0
2019.01.14	00:00:00	3541.79	3740.30	3531.01	3695.19	84062	0	0
2019.01.15	00:00:00	3695.29	3719.14	3564.71	3602.01	84394	0	0
2019.01.16	00:00:00	3599.26	3695.30	3591.74	3627.00	84097	0	0
2019.01.17	00:00:00	3626.18	3679.27	3559.37	3667.60	84113	0	0
2019.01.18	00:00:00	3668.14	3671.01	3601.27	3629.12	82393	0	0
2019.01.19	00:00:00	3629.19	3794.50	3626.19	3708.42	80772	0	0
2019.01.20	00:00:00	3707.11	3737.44	3496.62	3546.30	82295	0	0
2019.01.21	00:00:00	3546.65	3574.86	3495.05	3543.16	82952	0	0
2019.01.22	00:00:00	3543.12	3629.82	3429.56	3593.85	83384	0	0
2019.01.23	00:00:00	3593.73	3630.50	3544.26	3574.45	81927	0	0
2019.01.24	00:00:00	3574.70	3619.64	3542.65	3600.45	82700	0	0
2019.01.25	00:00:00	3600.49	3609.25	3530.06	3581.53	81713	0	0
2019.01.26	00:00:00	3581.55	3687.91	3563.81	3580.62	80990	0	0
2019.01.27	00:00:00	3580.85	3590.07	3481.27	3553.91	82019	0	0
2019.01.28	00:00:00	3552.99	3554.93	3398.16	3456.88	84198	0	0
2019.01.29	00:00:00	3456.95	3467.93	3360.58	3426.86	83476	0	0
2019.01.30	00:00:00	3426.01	3490.75	3402.43	3473.41	81935	0	0
2019.01.31	00:00:00	3473.54	3508.30	3429.17	3445.15	81446	0	0
2019.02.01	00:00:00	3446.89	3491.79	3408.65	3472.49	81907	0	0
2019.02.02	00:00:00	3472.44	3512.62	3447.81	3501.75	81576	0	0
2019.02.03	00:00:00	3501.87	3506.92	3409.01	3448.23	81411	0	0
2019.02.04	00:00:00	3448.69	3468.58	3425.86	3439.63	81084	0	0
2019.02.05	00:00:00	3439.94	3463.20	3423.29	3460.37	78466	0	0
2019.02.06	00:00:00	3460.95	3473.04	3366.54	3402.28	82733	0	0
2019.02.07	00:00:00	3400.88	3413.44	3378.09	3389.34	79018	0	0
2019.02.08	00:00:00	3389.28	3738.97	3375.45	3661.43	81284	0	0
2019.02.09	00:00:00	3661.57	3679.14	3627.51	3657.55	82297	0	0
2019.02.10	00:00:00	3657.63	3690.28	3609.25	3686.06	82756	0	0
2019.02.11	00:00:00	3686.13	3689.88	3612.09	3622.08	83420	0	0
2019.02.12	00:00:00	3622.23	3661.43	3578.36	3628.13	83186	0	0
2019.02.13	00:00:00	3627.93	3669.25	3577.34	3609.35	83147	0	0
2019.02.14	00:00:00	3609.37	3622.55	3568.10	3597.46	82834	0	0
2019.02.15	00:00:00	3597.51	3655.38	3582.25	3607.02	82444	0	0
2019.02.16	00:00:00	3607.15	3653.00	3597.41	3613.76	82424	0	0
2019.02.17	00:00:00	3613.75	3711.01	3599.51	3664.81	83219	0	0
2019.02.18	00:00:00	3664.48	3951.41	3655.40	3912.88	84970	0	0
2019.02.19	00:00:00	3912.97	4011.20	3872.91	3928.42	84559	0	0
2019.02.20	00:00:00	3928.58	4000.07	3904.10	3981.90	83166	0	0
2019.02.21	00:00:00	3981.62	4039.02	3884.96	3943.86	82743	0	0
2019.02.22	00:00:00	3943.87	4001.01	3926.48	3989.75	82685	0	0
2019.02.23	00:00:00	3989.61	4192.72	3952.36	4146.91	82067	0	0
2019.02.24	00:00:00	4146.85	4220.25	3744.71	3769.28	84045	0	0
2019.02.25	00:00:00	3769.04	3904.88	3765.68	3857.77	84341	0	0
2019.02.26	00:00:00	3856.77	3871.13	3797.02	3835.67	84382	0	0
2019.02.27	00:00:00	3835.69	3870.88	3695.74	3835.77	83828	0	0
2019.02.28	00:00:00	3835.67	3918.28	3798.55	3829.14	84404	0	0
2019.03.01	00:00:00	3829.24	3885.82	3825.39	3848.76	83501	0	0
2019.03.02	00:00:00	3848.82	3860.44	3786.74	3849.03	83179	0	0
2019.03.03	00:00:00	3848.95	3859.52	3795.16	3824.57	81256	0	0
2019.03.04	00:00:00	3824.69	3844.36	3705.24	3738.32	83577	0	0
2019.03.05	00:00:00	3738.66	3907.20	3722.39	3887.95	83020	0	0
